Date,SpeedW,Lat,Lon,Speed,Edate
05/01/202100:47:22,14.7kn(s),46.25473,-51.1486,14.7,5
05/01/202101:05:15,14.8kn(s),46.25545,-51.2537,14.8,5
05/01/202101:29:37,14.6kn(s),46.25673,-51.3969,14.6,5
05/01/202101:40:26,14.5kn(s),46.25734,-51.4599,14.5,5
05/01/202101:55:47,14.6kn(s),46.25841,-51.5498,14.6,5
05/01/202102:15:23,14.5kn(s),46.25994,-51.6636,14.5,5
05/01/202102:29:27,14.3kn(s),46.26099,-51.7447,14.3,5
05/01/202102:50:37,14.4kn(s),46.26207,-51.8666,14.4,5
05/01/202103:11:00,14.3kn(s),46.26314,-51.9834,14.3,5
05/01/202103:22:13,14.3kn(s),46.26355,-52.0478,14.3,5
05/01/202104:19:47,14.3kn(s),46.26638,-52.3795,14.3,5
05/01/202104:39:23,14.3kn(s),46.26801,-52.4917,14.3,5
05/01/202104:54:25,14.5kn(s),46.26918,-52.579,14.5,5
05/01/202105:05:08,14.6kn(s),46.26954,-52.6415,14.6,5
05/01/202105:15:32,14.5kn(s),46.26938,-52.702,14.5,5
05/01/202105:31:32,14.9kn(s),46.26864,-52.7968,14.9,5
05/01/202105:41:42,14.9kn(s),46.26829,-52.8584,14.9,5
05/01/202105:52:01,15kn(s),46.2686,-52.9203,15,5
05/01/202106:02:18,15kn(s),46.26919,-52.9824,15,5
05/01/202106:17:59,15kn(s),46.27046,-53.0764,15,5
05/01/202106:28:36,15kn(s),46.27137,-53.1401,15,5
05/01/202106:44:06,14.7kn(s),46.27251,-53.2328,14.7,5
05/01/202106:54:28,14.7kn(s),46.27313,-53.2936,14.7,5
05/01/202107:04:49,14.7kn(s),46.27332,-53.355,14.7,5
05/01/202107:15:24,14.6kn(s),46.27486,-53.4179,14.6,5
05/01/202107:26:02,14.5kn(s),46.28437,-53.4784,14.5,5
05/01/202107:36:29,14.5kn(s),46.29364,-53.538,14.5,5
05/01/202107:46:48,14.4kn(s),46.30312,-53.5959,14.4,5
05/01/202107:57:39,14.3kn(s),46.31293,-53.6567,14.3,5
05/01/202108:08:11,14.3kn(s),46.32252,-53.7162,14.3,5
05/01/202108:23:43,14.5kn(s),46.33652,-53.8033,14.5,5
05/01/202108:33:59,14.7kn(s),46.34627,-53.8623,14.7,5
05/01/202108:44:20,14.8kn(s),46.35597,-53.9219,14.8,5
05/01/202108:54:37,14.9kn(s),46.36593,-53.9822,14.9,5
